#
#    Name:     cp1098(Farsi) to Unicode table
#    Unicode version: 5.1
#    Table version: 1.00
#    Table format:  Format A
#    Date:          10/30/2009
#
#    Copyright (c) 2009 SEIKO EPSON Corp. All Rights reserved.
#
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp1098 code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp1098 order
#
0x00	0x0000	#NULL
0xA5	0xFEAD	#ARABIC LETTER REH ISOLATED FORM
0xA6	0xFEAF	#ARABIC LETTER ZAIN ISOLATED FORM
0xA7	0xFB8A	#ARABIC LETTER JEH ISOLATED FORM
0xA8	0xFEB1	#ARABIC LETTER SEEN ISOLATED FORM
0xA9	0xFEB3	#ARABIC LETTER SEEN INITIAL FORM
0xAA	0xFEB5	#ARABIC LETTER SHEEN ISOLATED FORM
0xAB	0xFEB7	#ARABIC LETTER SHEEN INITIAL FORM
0xAC	0xFEB9	#ARABIC LETTER SAD ISOLATED FORM
0xAD	0xFEBB	#ARABIC LETTER SAD INITIAL FORM
0xAE	0x00AB	#LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xAF	0x00BB	#RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xB0	0x2591	#LIGHT SHADE
0xB1	0x2592	#MEDIUM SHADE
0xB2	0x2593	#DARK SHADE
0xB3	0x2502	#BOX DRAWINGS LIGHT VERTICAL
0xB4	0x2524	#BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB5	0xFEBD	#ARABIC LETTER DAD ISOLATED FORM
0xB6	0xFEBF	#ARABIC LETTER DAD INITIAL FORM
0xB7	0xFEC1	#ARABIC LETTER TAH ISOLATED FORM
0xB8	0xFEC3	#ARABIC LETTER TAH INITIAL FORM
0xB9	0x2563	#BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xBA	0x2551	#BOX DRAWINGS DOUBLE VERTICAL
0xBB	0x2557	#BOX DRAWINGS DOUBLE DOWN AND LEFT
0xBC	0x255D	#BOX DRAWINGS DOUBLE UP AND LEFT
0xBD	0xFDFC	#RIAL SIGN
0xBE	0xFEC5	#ARABIC LETTER ZAH ISOLATED FORM
0xBF	0x2510	#BOX DRAWINGS LIGHT DOWN AND LEFT
0xC0	0x2514	#BOX DRAWINGS LIGHT UP AND RIGHT
0xC1	0x2534	#BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xC2	0x252C	#BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xC3	0x251C	#BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xC4	0x2500	#BOX DRAWINGS LIGHT HORIZONTAL
0xC5	0x253C	#BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xC6	0xFEC7	#ARABIC LETTER ZAH INITIAL FORM
0xC7	0xFEC9	#ARABIC LETTER AIN ISOLATED FORM
0xC8	0x255A	#BOX DRAWINGS DOUBLE UP AND RIGHT
0xC9	0x2554	#BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xCA	0x2569	#BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xCB	0x2566	#BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xCC	0x2560	#BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xCD	0x2550	#BOX DRAWINGS DOUBLE HORIZONTAL
0xCE	0x256C	#BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xCF	      	#UNDEFINED
0xD0	0xFECA	#ARABIC LETTER AIN FINAL FORM
0xD1	0xFECB	#ARABIC LETTER AIN INITIAL FORM
0xD2	0xFECC	#ARABIC LETTER AIN MEDIAL FORM
0xD3	0xFECD	#ARABIC LETTER GHAIN ISOLATED FORM
0xD4	0xFECE	#ARABIC LETTER GHAIN FINAL FORM
0xD5	0xFECF	#ARABIC LETTER GHAIN INITIAL FORM
0xD6	0xFED0	#ARABIC LETTER GHAIN MEDIAL FORM
0xD7	0xFED1	#ARABIC LETTER FEH ISOLATED FORM
0xD8	0xFED3	#ARABIC LETTER FEH INITIAL FORM
0xD9	0x2518	#BOX DRAWINGS LIGHT UP AND LEFT
0xDA	0x250C	#BOX DRAWINGS LIGHT DOWN AND RIGHT
0xDB	0x2588	#FULL BLOCK
0xDC	0x2584	#LOWER HALF BLOCK
0xDD	0xFED5	#ARABIC LETTER QAF ISOLATED FORM
0xDE	0xFED7	#ARABIC LETTER QAF INITIAL FORM
0xDF	0x2580	#UPPER HALF BLOCK
0xE0	0xFED9	#ARABIC LETTER KAF ISOLATED FORM
0xE1	0xFEDB	#ARABIC LETTER KAF INITIAL FORM
0xE2	0xFB92	#ARABIC LETTER GAF ISOLATED FORM
0xE3	0xFB94	#ARABIC LETTER GAF INITIAL FORM
0xE4	0xFEDD	#ARABIC LETTER LAM ISOLATED FORM
0xE5	0xFEDF	#ARABIC LETTER LAM INITIAL FORM
0xE6	0xFEE1	#ARABIC LETTER MEEM ISOLATED FORM
0xE7	0xFEE3	#ARABIC LETTER MEEM INITIAL FORM
0xE8	0xFEE5	#ARABIC LETTER NOON ISOLATED FORM
0xE9	0xFEE7	#ARABIC LETTER NOON INITIAL FORM
0xEA	0xFEED	#ARABIC LETTER WAW ISOLATED FORM
0xEB	0xFEE9	#ARABIC LETTER HEH ISOLATED FORM
0xEC	0xFEEB	#ARABIC LETTER HEH INITIAL FORM
0xED	0xFEEC	#ARABIC LETTER HEH MEDIAL FORM
0xEE	0xFBA4	#ARABIC LETTER HEH WITH YEH ABOVE ISOLATED FORM
0xEF	0xFBFC	#ARABIC LETTER FARSI YEH ISOLATED FORM
0xF0	0x00AD	#SOFT HYPHEN
0xF1	0xFBFD	#ARABIC LETTER FARSI YEH FINAL FORM
0xF2	0xFBFE	#ARABIC LETTER FARSI YEH INITIAL FORM
0xF3	0x0640	#ARABIC TATWEEL
0xF4	0x06F0	#EXTENDED ARABIC-INDIC DIGIT ZERO
0xF5	0x06F1	#EXTENDED ARABIC-INDIC DIGIT ONE
0xF6	0x06F2	#EXTENDED ARABIC-INDIC DIGIT TWO
0xF7	0x06F3	#EXTENDED ARABIC-INDIC DIGIT THREE
0xF8	0x06F4	#EXTENDED ARABIC-INDIC DIGIT FOUR
0xF9	0x06F5	#EXTENDED ARABIC-INDIC DIGIT FIVE
0xFA	0x06F6	#EXTENDED ARABIC-INDIC DIGIT SIX
0xFB	0x06F7	#EXTENDED ARABIC-INDIC DIGIT SEVEN
0xFC	0x06F8	#EXTENDED ARABIC-INDIC DIGIT EIGHT
0xFD	0x06F9	#EXTENDED ARABIC-INDIC DIGIT NINE
0xFE	0x25A0	#BLACK SQUARE
0xFF	0x00A0	#NO-BREAK SPACE
